"cpu_id", "freq", "log_id"
"cpu3", 0.501477, 96
"cpu0", 0.480000, 97
"cpu1", 0.480000, 97
"cpu2", 0.480009, 97
"cpu3", 0.501477, 97
"cpu0", 0.480000, 98
"cpu1", 0.480000, 98
"cpu2", 0.480000, 98
"cpu3", 0.479998, 98
"cpu0", 0.479969, 99
"cpu1", 0.480000, 99
"cpu2", 0.480000, 99
"cpu3", 0.479998, 99
"cpu0", 0.479969, 100
"cpu1", 0.480000, 100
"cpu2", 0.480000, 100
"cpu3", 0.480001, 100
"cpu0", 0.484350, 101
"cpu1", 0.480000, 101
"cpu2", 0.480000, 101
"cpu3", 0.480001, 101
"cpu0", 0.484350, 102
"cpu1", 0.508595, 102
"cpu2", 0.884392, 102
"cpu3", 0.780489, 102
"cpu0", 0.628217, 103
"cpu1", 0.508595, 103
"cpu2", 0.884392, 103
"cpu3", 0.780489, 103
"cpu0", 0.628217, 104
"cpu1", 0.602006, 104
"cpu2", 1.638585, 104
"cpu3", 1.281906, 104
"cpu0", 0.701028, 105
"cpu1", 0.602006, 105
"cpu2", 1.638585, 105
"cpu3", 1.281906, 105
"cpu0", 0.701028, 106
"cpu1", 0.980968, 106
"cpu2", 1.569954, 106
"cpu3", 1.530576, 106
"cpu0", 1.406229, 107
"cpu1", 0.980968, 107
"cpu2", 1.569954, 107
"cpu3", 1.530576, 107
"cpu0", 1.406229, 108
"cpu1", 1.732230, 108
"cpu2", 1.643861, 108
"cpu3", 1.551542, 108
"cpu0", 1.648494, 109
"cpu1", 1.732230, 109
"cpu2", 1.643861, 109
"cpu3", 1.551542, 109
"cpu0", 1.648494, 110
"cpu1", 1.274206, 110
"cpu2", 1.735368, 110
"cpu3", 1.773879, 110
"cpu0", 1.507753, 111
"cpu1", 1.274206, 111
"cpu2", 1.735368, 111
"cpu3", 1.773879, 111
"cpu0", 1.507753, 112
"cpu1", 1.424569, 112
"cpu2", 1.756216, 112
"cpu3", 1.743940, 112
"cpu0", 1.294111, 113
"cpu1", 1.424569, 113
"cpu2", 1.756216, 113
"cpu3", 1.743940, 113
"cpu0", 1.294111, 114
"cpu1", 1.270108, 114
"cpu2", 1.802436, 114
"cpu3", 1.807311, 114
"cpu0", 1.482295, 115
"cpu1", 1.270108, 115
"cpu2", 1.802436, 115
"cpu3", 1.807311, 115
"cpu0", 1.482295, 116
"cpu1", 1.682707, 116
"cpu2", 1.813049, 116
"cpu3", 1.809938, 116
"cpu0", 1.077287, 117
"cpu1", 1.682707, 117
"cpu2", 1.813049, 117
"cpu3", 1.809938, 117
"cpu0", 1.077287, 118
"cpu1", 1.012487, 118
"cpu2", 1.752312, 118
"cpu3", 1.757769, 118
"cpu0", 1.506869, 119
"cpu1", 1.012487, 119
"cpu2", 1.752312, 119
"cpu3", 1.757769, 119
"cpu0", 1.506869, 120
"cpu1", 1.776604, 120
"cpu2", 1.817055, 120
"cpu3", 1.809105, 120
"cpu0", 1.544418, 121
"cpu1", 1.776604, 121
"cpu2", 1.817055, 121
"cpu3", 1.809105, 121
"cpu0", 1.544418, 122
"cpu1", 1.542022, 122
"cpu2", 1.823844, 122
"cpu3", 1.796862, 122
"cpu0", 1.189371, 123
"cpu1", 1.542022, 123
"cpu2", 1.823844, 123
"cpu3", 1.796862, 123
"cpu0", 1.189371, 124
"cpu1", 0.833491, 124
"cpu2", 1.703581, 124
"cpu3", 1.386132, 124
"cpu0", 0.767621, 125
"cpu1", 0.833491, 125
"cpu2", 1.703581, 125
"cpu3", 1.386132, 125
"cpu0", 0.767621, 126
"cpu1", 1.282885, 126
"cpu2", 1.151378, 126
"cpu3", 1.167594, 126
"cpu0", 1.361444, 127
"cpu1", 1.282885, 127
"cpu2", 1.151378, 127
"cpu3", 1.167594, 127
"cpu0", 1.361444, 128
"cpu1", 1.652442, 128
"cpu2", 1.794684, 128
"cpu3", 1.760077, 128
"cpu0", 1.314709, 129
"cpu1", 1.652442, 129
"cpu2", 1.794684, 129
"cpu3", 1.760077, 129
"cpu0", 1.314709, 130
"cpu1", 1.342858, 130
"cpu2", 1.860469, 130
"cpu3", 1.889844, 130
"cpu0", 1.448788, 131
"cpu1", 1.342858, 131
"cpu2", 1.860469, 131
"cpu3", 1.889844, 131
"cpu0", 1.448788, 132
"cpu1", 0.827641, 132
"cpu2", 1.841584, 132
"cpu3", 1.499664, 132
"cpu0", 0.957601, 133
"cpu1", 0.827641, 133
"cpu2", 1.841584, 133
"cpu3", 1.499664, 133
"cpu0", 0.957601, 134
"cpu1", 0.543722, 134
"cpu2", 0.647035, 134
"cpu3", 0.641306, 134
"cpu0", 0.530832, 135
"cpu1", 0.480000, 135
"cpu2", 0.647035, 135
"cpu3", 0.641306, 135
"cpu0", 0.530832, 136
"cpu1", 0.480000, 136
"cpu2", 0.560661, 136
"cpu3", 0.584826, 136
"cpu0", 0.480000, 137
"cpu1", 0.480000, 137
"cpu2", 0.560661, 137
"cpu3", 0.584826, 137
"cpu0", 0.480000, 138
"cpu1", 0.480000, 138
"cpu2", 0.485584, 138
"cpu3", 0.513323, 138
"cpu0", 0.480000, 139
"cpu1", 0.480000, 139
"cpu2", 0.485584, 139
"cpu3", 0.513323, 139
"cpu0", 0.480000, 140
"cpu1", 0.480000, 140
"cpu2", 0.583455, 140
"cpu3", 0.486817, 140
"cpu0", 0.480000, 141
"cpu1", 0.480000, 141
"cpu2", 0.480000, 141
"cpu3", 0.479996, 141
"cpu0", 0.480000, 142
"cpu1", 0.480000, 142
"cpu2", 0.480000, 142
"cpu3", 0.479996, 142
"cpu0", 0.480000, 143
"cpu1", 0.480000, 143
"cpu2", 0.480000, 143
"cpu3", 0.480000, 143
