"cpu_id", "freq", "sample_id"
"cpu3", 0.480000, 135
"cpu0", 0.480000, 136
"cpu1", 0.480000, 136
"cpu2", 0.479996, 136
"cpu3", 0.480000, 136
"cpu0", 0.480000, 137
"cpu1", 0.480000, 137
"cpu2", 0.480000, 137
"cpu3", 0.480000, 137
"cpu0", 0.480000, 138
"cpu1", 0.480000, 138
"cpu2", 0.480000, 138
"cpu3", 0.480000, 138
"cpu0", 0.480000, 139
"cpu1", 0.480000, 139
"cpu2", 0.480001, 139
"cpu3", 0.480000, 139
"cpu0", 0.480000, 140
"cpu1", 0.480000, 140
"cpu2", 0.480000, 140
"cpu3", 0.480000, 140
"cpu0", 0.480000, 141
"cpu1", 0.480000, 141
"cpu2", 0.479996, 141
"cpu3", 0.480000, 141
"cpu0", 0.480000, 142
"cpu1", 0.480000, 142
"cpu2", 0.480000, 142
"cpu3", 0.480000, 142
"cpu0", 0.480000, 143
"cpu1", 0.480000, 143
"cpu2", 0.480000, 143
"cpu3", 0.480000, 143
"cpu0", 0.480000, 144
"cpu1", 0.480000, 144
"cpu2", 0.479998, 144
"cpu3", 0.480000, 144
"cpu0", 0.480000, 145
"cpu1", 0.480000, 145
"cpu2", 0.480000, 145
"cpu3", 0.480000, 145
"cpu0", 0.480000, 146
"cpu1", 0.480000, 146
"cpu2", 0.480003, 146
"cpu3", 0.480000, 146
"cpu0", 0.480000, 147
"cpu1", 0.480000, 147
"cpu2", 0.479997, 147
"cpu3", 0.480004, 147
"cpu0", 0.480000, 148
"cpu1", 0.480000, 148
"cpu2", 0.479997, 148
"cpu3", 0.480004, 148
"cpu0", 0.480000, 149
"cpu1", 0.480002, 149
"cpu2", 0.605391, 149
"cpu3", 0.833652, 149
"cpu0", 0.480000, 150
"cpu1", 0.480002, 150
"cpu2", 0.605391, 150
"cpu3", 0.833652, 150
"cpu0", 0.755708, 151
"cpu1", 0.699555, 151
"cpu2", 0.698052, 151
"cpu3", 0.805795, 151
"cpu0", 0.503052, 152
"cpu1", 0.765182, 152
"cpu2", 0.541586, 152
"cpu3", 0.518130, 152
"cpu0", 0.480000, 153
"cpu1", 0.616789, 153
"cpu2", 0.480154, 153
"cpu3", 0.482460, 153
"cpu0", 0.480000, 154
"cpu1", 0.616789, 154
"cpu2", 0.480154, 154
"cpu3", 0.482460, 154
"cpu0", 0.480000, 155
"cpu1", 0.480000, 155
"cpu2", 0.499713, 155
"cpu3", 0.525914, 155
"cpu0", 0.480000, 156
"cpu1", 0.480000, 156
"cpu2", 0.560000, 156
"cpu3", 0.537215, 156
"cpu0", 0.480000, 157
"cpu1", 0.480000, 157
"cpu2", 0.560000, 157
"cpu3", 0.537215, 157
"cpu0", 0.513043, 158
"cpu1", 0.480000, 158
"cpu2", 0.489587, 158
"cpu3", 0.484548, 158
"cpu0", 0.513043, 159
"cpu1", 0.480000, 159
"cpu2", 0.489587, 159
"cpu3", 0.484548, 159
"cpu0", 0.571992, 160
"cpu1", 0.526328, 160
"cpu2", 0.480000, 160
"cpu3", 0.480000, 160
"cpu0", 0.571992, 161
"cpu1", 0.526328, 161
"cpu2", 0.480000, 161
"cpu3", 0.480000, 161
"cpu0", 0.480000, 162
"cpu1", 0.480000, 162
"cpu2", 0.479895, 162
"cpu3", 0.480001, 162
"cpu0", 0.480000, 163
"cpu1", 0.480000, 163
"cpu2", 0.480115, 163
"cpu3", 0.479996, 163
"cpu0", 0.480000, 164
"cpu1", 0.480000, 164
"cpu2", 0.480000, 164
"cpu3", 0.480005, 164
"cpu0", 0.480000, 165
"cpu1", 0.480000, 165
"cpu2", 0.480000, 165
"cpu3", 0.479997, 165
"cpu0", 0.480000, 166
"cpu1", 0.480000, 166
"cpu2", 0.480000, 166
"cpu3", 0.479993, 166
"cpu0", 0.479987, 167
"cpu1", 0.480000, 167
"cpu2", 0.479882, 167
"cpu3", 0.480007, 167
"cpu0", 0.480021, 168
"cpu1", 0.480000, 168
"cpu2", 0.480120, 168
"cpu3", 0.480000, 168
"cpu0", 0.480021, 169
"cpu1", 0.480000, 169
"cpu2", 0.480120, 169
"cpu3", 0.480000, 169
"cpu0", 0.480000, 170
"cpu1", 0.480000, 170
"cpu2", 0.480000, 170
"cpu3", 0.489770, 170
"cpu0", 0.480000, 171
"cpu1", 0.480000, 171
"cpu2", 0.480000, 171
"cpu3", 0.480000, 171
"cpu0", 0.480000, 172
"cpu1", 0.480000, 172
"cpu2", 0.501253, 172
"cpu3", 0.535904, 172
"cpu0", 0.480000, 173
"cpu1", 0.480000, 173
"cpu2", 0.535077, 173
"cpu3", 0.484321, 173
"cpu0", 0.480000, 174
"cpu1", 0.480000, 174
"cpu2", 0.535077, 174
"cpu3", 0.484321, 174
"cpu0", 0.480000, 175
"cpu1", 0.480000, 175
"cpu2", 0.479881, 175
"cpu3", 0.480000, 175
"cpu0", 0.480000, 176
"cpu1", 0.480000, 176
"cpu2", 0.480000, 176
"cpu3", 0.480003, 176
"cpu0", 0.480000, 177
"cpu1", 0.480000, 177
"cpu2", 0.480116, 177
"cpu3", 0.480000, 177
"cpu0", 0.480000, 178
"cpu1", 0.480000, 178
"cpu2", 0.480000, 178
"cpu3", 0.480000, 178
"cpu0", 0.480000, 179
"cpu1", 0.480000, 179
"cpu2", 0.480000, 179
"cpu3", 0.480000, 179
"cpu0", 0.480000, 180
"cpu1", 0.480000, 180
"cpu2", 0.479881, 180
"cpu3", 0.480001, 180
"cpu0", 0.480000, 181
"cpu1", 0.480000, 181
"cpu2", 0.480117, 181
"cpu3", 0.479993, 181
"cpu0", 0.480000, 182
"cpu1", 0.480000, 182
"cpu2", 0.480000, 182
"cpu3", 0.480006, 182
"cpu0", 0.480000, 183
"cpu1", 0.480000, 183
"cpu2", 0.479881, 183
"cpu3", 0.480000, 183
"cpu0", 0.480000, 184
"cpu1", 0.480000, 184
"cpu2", 0.479881, 184
"cpu3", 0.480000, 184
"cpu0", 0.480000, 185
"cpu1", 0.480000, 185
"cpu2", 0.480117, 185
"cpu3", 0.492718, 185
"cpu0", 0.480000, 186
"cpu1", 0.480000, 186
"cpu2", 0.480000, 186
"cpu3", 0.479993, 186
"cpu0", 0.480000, 187
"cpu1", 0.480000, 187
"cpu2", 0.503367, 187
"cpu3", 0.524597, 187
"cpu0", 0.479980, 188
"cpu1", 0.480000, 188
"cpu2", 0.532177, 188
"cpu3", 0.485118, 188
"cpu0", 0.480002, 189
"cpu1", 0.480000, 189
"cpu2", 0.480003, 189
"cpu3", 0.480000, 189
"cpu0", 0.480000, 190
"cpu1", 0.480000, 190
"cpu2", 0.480000, 190
"cpu3", 0.480000, 190
"cpu0", 0.480000, 191
"cpu1", 0.480000, 191
"cpu2", 0.480000, 191
"cpu3", 0.480000, 191
"cpu0", 0.480000, 192
"cpu1", 0.480000, 192
"cpu2", 0.479996, 192
"cpu3", 0.480000, 192
"cpu0", 0.480000, 193
"cpu1", 0.480000, 193
"cpu2", 0.480003, 193
"cpu3", 0.480000, 193
"cpu0", 0.480000, 194
"cpu1", 0.480000, 194
"cpu2", 0.480003, 194
"cpu3", 0.480000, 194
"cpu0", 0.480000, 195
"cpu1", 0.480000, 195
"cpu2", 0.494136, 195
"cpu3", 0.500231, 195
"cpu0", 0.480000, 196
"cpu1", 0.480000, 196
"cpu2", 0.494706, 196
"cpu3", 0.536099, 196
"cpu0", 0.480000, 197
"cpu1", 0.480000, 197
"cpu2", 0.494706, 197
"cpu3", 0.536099, 197
"cpu0", 0.480000, 198
"cpu1", 0.480000, 198
"cpu2", 0.480000, 198
"cpu3", 0.479881, 198
"cpu0", 0.480000, 199
"cpu1", 0.480000, 199
"cpu2", 0.480000, 199
"cpu3", 0.479881, 199
"cpu0", 0.480000, 200
"cpu1", 0.480000, 200
"cpu2", 0.479998, 200
"cpu3", 0.480119, 200
"cpu0", 0.480000, 201
"cpu1", 0.480000, 201
"cpu2", 0.480002, 201
"cpu3", 0.480000, 201
"cpu0", 0.480000, 202
"cpu1", 0.480000, 202
"cpu2", 0.479994, 202
"cpu3", 0.480000, 202
"cpu0", 0.480000, 203
"cpu1", 0.480000, 203
"cpu2", 0.480000, 203
"cpu3", 0.480000, 203
"cpu0", 0.480000, 204
"cpu1", 0.480000, 204
"cpu2", 0.480000, 204
"cpu3", 0.480000, 204
"cpu0", 0.480000, 205
"cpu1", 0.480000, 205
"cpu2", 0.495062, 205
"cpu3", 0.485590, 205
"cpu0", 0.480000, 206
"cpu1", 0.480000, 206
"cpu2", 0.480000, 206
"cpu3", 0.480026, 206
"cpu0", 0.480000, 207
"cpu1", 0.480000, 207
"cpu2", 0.479997, 207
"cpu3", 0.480000, 207
"cpu0", 0.480000, 208
"cpu1", 0.480000, 208
"cpu2", 0.480000, 208
"cpu3", 0.480000, 208
"cpu0", 0.480000, 209
"cpu1", 0.480000, 209
"cpu2", 0.480000, 209
"cpu3", 0.480000, 209
"cpu0", 0.480000, 210
"cpu1", 0.480000, 210
"cpu2", 0.480001, 210
"cpu3", 0.480000, 210
"cpu0", 0.480000, 211
"cpu1", 0.480000, 211
"cpu2", 0.480001, 211
"cpu3", 0.480000, 211
"cpu0", 0.480000, 212
"cpu1", 0.480000, 212
"cpu2", 0.479996, 212
"cpu3", 0.480000, 212
"cpu0", 0.480000, 213
"cpu1", 0.480000, 213
"cpu2", 0.480000, 213
"cpu3", 0.480000, 213
"cpu0", 0.480000, 214
"cpu1", 0.480000, 214
"cpu2", 0.480006, 214
"cpu3", 0.480000, 214
"cpu0", 0.480000, 215
"cpu1", 0.480000, 215
"cpu2", 0.480000, 215
"cpu3", 0.479993, 215
"cpu0", 0.480000, 216
"cpu1", 0.480000, 216
"cpu2", 0.480000, 216
"cpu3", 0.479993, 216
"cpu0", 0.480000, 217
"cpu1", 0.480000, 217
"cpu2", 0.502062, 217
"cpu3", 0.480004, 217
"cpu0", 0.480000, 218
"cpu1", 0.480000, 218
"cpu2", 0.479996, 218
"cpu3", 0.480000, 218
"cpu0", 0.480000, 219
"cpu1", 0.480000, 219
"cpu2", 0.515810, 219
"cpu3", 0.500820, 219
"cpu0", 0.480000, 220
"cpu1", 0.480000, 220
"cpu2", 0.494494, 220
"cpu3", 0.535547, 220
"cpu0", 0.480000, 221
"cpu1", 0.480000, 221
"cpu2", 0.494494, 221
"cpu3", 0.535547, 221
"cpu0", 0.480000, 222
"cpu1", 0.480000, 222
"cpu2", 0.480002, 222
"cpu3", 0.480000, 222
"cpu0", 0.480000, 223
"cpu1", 0.480000, 223
"cpu2", 0.480000, 223
"cpu3", 0.480000, 223
"cpu0", 0.480000, 224
"cpu1", 0.480000, 224
"cpu2", 0.480000, 224
"cpu3", 0.480000, 224
"cpu0", 0.480000, 225
"cpu1", 0.480000, 225
"cpu2", 0.620680, 225
"cpu3", 0.855079, 225
"cpu0", 0.480000, 226
"cpu1", 0.480000, 226
"cpu2", 0.620680, 226
"cpu3", 0.855079, 226
"cpu0", 0.638213, 227
"cpu1", 0.750618, 227
"cpu2", 1.127525, 227
"cpu3", 1.253188, 227
"cpu0", 1.244314, 228
"cpu1", 1.105873, 228
"cpu2", 1.296171, 228
"cpu3", 0.858784, 228
"cpu0", 1.244314, 229
"cpu1", 1.105873, 229
"cpu2", 1.296171, 229
"cpu3", 0.858784, 229
"cpu0", 0.480000, 230
"cpu1", 0.842365, 230
"cpu2", 0.531836, 230
"cpu3", 0.534339, 230
"cpu0", 0.480000, 231
"cpu1", 0.480000, 231
"cpu2", 0.479893, 231
"cpu3", 0.480006, 231
